frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,total_ms
1199,90.95,4.689,8.246,2.308,106.193
1200,13.758,4.748,8.176,3.035,29.717
1201,64.743,4.579,8.198,2.47,79.99
1202,13.992,4.676,8.136,2.737,29.541
1203,95.636,4.123,7.966,2.2,109.926
1204,13.994,4.591,8.234,4.671,31.49
1205,64.294,4.694,8.178,2.235,79.401
1206,13.908,3.755,8.077,2.829,28.569
1207,95.489,3.745,7.988,2.222,109.444
1208,13.406,4.528,8.123,2.732,28.789
1209,61.431,4.779,8.172,2.767,77.149
1210,13.852,4.317,8.106,2.833,29.107
1211,88.838,4.568,8.214,2.133,103.755
1212,13.36,4.819,8.175,2.93,29.284
1213,66.688,4.511,8.213,2.334,81.746
1214,17.176,5.208,8.129,3.151,33.663
1215,120.357,3.554,7.971,2.055,133.937
1216,11.569,4.571,8.064,2.742,26.946
1217,64.54,4.674,8.231,2.117,79.562
1218,13.135,4.394,8.074,2.716,28.318
1219,87.02,4.63,8.02,2.021,101.691
1220,12.876,4.544,8.094,2.737,28.251
1221,58.266,4.623,8.184,2.832,73.906
1222,19.857,4.567,8.171,2.8,35.395
1223,89.392,4.861,8.225,2.05,104.529
1224,13.301,4.504,8.089,2.814,28.707
1225,66.206,4.487,8.245,2.462,81.4
1226,13.689,4.311,8.163,2.747,28.91
1227,91.929,4.791,8.075,2.106,106.902
1228,13.324,4.171,8.126,2.901,28.522
1229,65.473,4.473,8.25,3.057,81.253
1230,16.693,4.254,8.483,2.72,32.15
1231,111.543,3.676,8.03,2.148,125.397
1232,12.071,4.135,8.159,3.096,27.461
1233,68.237,4.599,8.254,2.165,83.255
1234,13.677,4.092,8.147,2.789,28.706
1235,97.905,3.852,7.981,2.21,111.948
1236,13.394,4.431,8.175,2.952,28.951
1237,62.298,4.617,8.152,2.215,77.282
1238,11.844,4.559,8.083,2.692,27.178
1239,94.321,3.751,7.999,2.091,108.163
1240,11.795,4.141,8.172,2.837,26.944
1241,64.713,4.439,8.26,2.285,79.696
1242,13.445,4.68,8.085,2.85,29.06
1243,98.672,3.733,8.105,2.244,112.755
1244,13.203,4.698,8.132,2.936,28.968
1245,65.883,4.587,8.205,2.321,80.996
1246,15.533,5.194,8.328,2.673,31.729
1247,49.504,4.849,8.077,2.745,65.175
1248,97.275,5.135,8.194,2.154,112.758
1249,12.018,4.873,8.173,2.871,27.936
1250,80.25,3.729,8.002,2.41,94.391
1251,11.498,4.445,8.219,2.959,27.121
1252,66.124,6.993,8.165,2.963,84.246
1253,33.285,4.754,8.176,3.015,49.23
1254,68.66,4.798,8.233,2.596,84.287
1255,13.373,4.283,8.156,2.807,28.618
1256,62.331,4.631,8.145,2.908,78.016
1257,56.536,4.833,8.166,2.995,72.53
1258,34.753,4.745,8.131,2.991,50.62
1259,42.685,4.174,8.233,2.885,57.977
1260,35.902,4.185,8.14,2.869,51.096
1261,75.477,4.606,8.285,5.178,93.546
1262,21.558,4.641,8.11,2.847,37.155
1263,60.707,4.393,8.189,2.966,76.255
1264,16.239,4.37,8.111,2.889,31.61
1265,102.746,4.886,8.277,3.087,118.996
1266,14.998,4.434,8.183,2.865,30.478
1267,61.574,4.64,8.243,2.398,76.854
1268,13.755,4.428,8.075,2.822,29.079
1269,92.355,4.024,7.991,2.116,106.485
