frame,preprocess_ms,inference_ms,postprocess_ms,total_ms
1749,2.67,8.682,1.816,13.168
1750,2.674,10.101,1.898,14.673
1751,2.729,8.683,1.78,13.192
1752,3.236,8.541,1.82,13.597
1753,2.681,8.697,1.802,13.179
1754,2.663,8.734,1.785,13.182
1755,2.739,8.581,1.822,13.143
1756,2.687,8.56,1.825,13.072
1757,2.689,8.636,1.864,13.189
1758,2.672,8.751,1.778,13.201
1759,2.662,8.648,1.793,13.103
1760,2.64,8.484,1.773,12.896
1761,2.633,8.574,1.81,13.017
1762,2.976,8.612,1.801,13.388
1763,2.825,10.99,2.249,16.064
1764,2.853,12.699,2.269,17.821
1765,2.881,12.731,2.331,17.943
1766,2.901,12.776,1.881,17.559
1767,3.699,12.171,2.062,17.932
1768,2.537,10.072,2.223,14.832
1769,2.969,13.051,2.448,18.468
1770,4.52,12.222,2.307,19.049
1771,2.811,12.392,2.293,17.496
1772,2.871,13.446,2.354,18.672
1773,3.244,10.807,1.881,15.932
1774,2.78,8.837,2.074,13.69
1775,2.705,8.781,2.035,13.521
1776,2.829,9.177,1.88,13.886
1777,2.674,13.405,1.749,17.828
1778,2.794,10.268,2.365,15.427
1779,2.793,8.76,1.842,13.395
1780,2.682,8.721,2.266,13.669
1781,5.624,12.741,1.954,20.319
1782,2.685,9.188,1.934,13.807
1783,2.667,12.762,2.641,18.07
1784,4.62,14.793,2.268,21.681
1785,3.51,17.219,2.786,23.516
1786,3.266,14.389,2.288,19.944
1787,2.83,13.045,2.42,18.295
1788,2.817,13.068,2.324,18.209
1789,2.801,12.284,2.344,17.429
1790,3.11,14.437,2.658,20.205
1791,3.749,14.641,2.814,21.204
1792,6.477,14.41,2.767,23.655
1793,3.153,13.894,2.743,19.791
1794,3.121,14.845,2.822,20.789
1795,3.437,13.512,2.697,19.647
1796,3.492,13.16,2.58,19.233
1797,3.1,12.85,2.366,18.316
1798,3.007,12.268,2.541,17.817
1799,3.085,12.336,2.366,17.787
1800,3.058,12.13,2.706,17.894
1801,3.025,12.322,2.41,17.757
1802,3.032,12.262,2.567,17.86
1803,3.302,13.67,2.672,19.644
1804,3.152,13.664,2.307,19.122
1805,2.838,13.694,2.046,18.577
1806,2.97,9.74,1.64,14.349
1807,2.64,7.094,1.585,11.319
1808,2.54,6.744,1.521,10.805
1809,2.466,6.719,1.59,10.775
1810,2.423,6.639,1.547,10.609
1811,2.568,6.519,1.55,10.637
1812,2.475,6.969,1.59,11.035
1813,2.657,6.831,1.455,10.943
1814,2.514,7.045,1.756,11.315
1815,2.67,7.751,1.766,12.186
1816,2.894,7.574,1.745,12.212
1817,2.804,7.638,1.741,12.183
1818,2.699,7.78,1.791,12.271
1819,2.792,7.745,1.691,12.228
1820,2.75,7.538,1.735,12.023
1821,2.92,7.541,1.747,12.208
1822,2.715,7.507,1.742,11.964
1823,2.919,10.006,1.793,14.717
1824,2.904,8.12,1.759,12.783
1825,3.205,9.622,1.657,14.484
1826,2.766,7.537,2.255,12.558
1827,2.745,7.512,1.79,12.048
1828,3.021,9.058,1.773,13.852
1829,2.738,9.44,1.771,13.948
1830,2.725,7.318,2.399,12.443
1831,2.814,7.513,1.724,12.051
1832,2.502,7.755,2.097,12.355
1833,2.689,7.492,1.703,11.884
1834,2.705,7.283,1.686,11.674
1835,2.499,7.511,1.655,11.665
1836,2.597,8.037,1.677,12.311
1837,2.71,7.194,1.534,11.438
1838,2.637,6.974,1.544,11.155
1839,2.516,6.964,1.566,11.045
1840,2.495,7.485,1.496,11.475
1841,2.451,6.688,1.522,10.66
1842,2.706,8.518,1.887,13.112
1843,2.722,7.789,1.823,12.334
1844,2.698,7.575,1.655,11.927
1845,2.907,7.517,1.677,12.101
1846,2.642,7.384,1.667,11.692
1847,2.626,7.497,1.815,11.938
1848,2.769,8.385,2.206,13.36
1849,3.097,10.444,1.611,15.152
1850,2.462,6.596,1.519,10.577
1851,2.363,8.139,2.584,13.086
1852,2.652,6.813,1.575,11.041
1853,2.363,6.577,1.498,10.438
1854,2.488,6.635,1.516,10.639
1855,2.414,8.805,1.606,12.825
1856,2.557,6.586,1.503,10.647
1857,2.458,9.154,2.22,13.832
1858,2.852,11.727,2.538,17.117
1859,3.033,10.266,1.599,14.897
1860,2.477,6.834,1.513,10.824
1861,2.437,7.091,1.519,11.046
1862,2.363,6.986,1.508,10.857
1863,2.387,6.802,1.611,10.801
1864,2.523,6.505,1.615,10.644
1865,2.38,6.585,1.578,10.543
1866,2.362,6.713,1.458,10.533
1867,2.558,6.553,1.537,10.648
1868,2.42,6.591,1.511,10.523
1869,2.428,6.765,1.459,10.652
1870,2.413,6.549,1.507,10.469
1871,2.406,7.063,1.634,11.103
1872,2.446,6.616,1.508,10.569
1873,2.426,8.759,1.532,12.716
1874,2.433,6.792,1.512,10.737
1875,2.646,6.594,1.511,10.751
1876,2.406,6.612,1.512,10.53
1877,2.451,6.594,1.508,10.553
1878,2.433,6.618,1.525,10.575
1879,2.395,6.777,1.527,10.699
1880,2.489,6.613,1.506,10.608
1881,2.431,6.628,1.516,10.575
1882,2.435,6.775,1.501,10.711
1883,2.414,6.59,1.511,10.515
1884,2.41,6.622,1.498,10.529
1885,2.388,6.957,1.504,10.85
1886,2.398,7.076,1.504,10.978
1887,2.521,6.659,1.522,10.702
1888,2.576,6.554,1.516,10.646
1889,2.388,6.562,1.503,10.452
1890,2.511,6.501,1.504,10.516
1891,2.43,6.626,1.514,10.571
1892,2.508,6.64,1.436,10.584
1893,2.4,6.584,1.575,10.559
1894,2.391,6.657,1.495,10.543
1895,2.369,6.89,1.432,10.692
1896,2.369,6.608,1.512,10.489
1897,2.592,6.614,1.508,10.713
1898,2.455,6.858,1.487,10.799
1899,2.375,6.611,1.513,10.499
1900,2.429,6.579,1.495,10.503
1901,2.384,6.989,1.502,10.874
1902,2.414,6.598,1.549,10.56
1903,2.355,6.557,1.489,10.4
1904,2.396,6.604,1.501,10.501
1905,2.6,6.77,1.514,10.885
1906,2.402,6.712,1.516,10.63
1907,2.405,7.153,1.576,11.135
1908,2.446,6.847,1.549,10.841
1909,2.363,6.707,1.434,10.504
1910,2.397,6.698,1.522,10.616
1911,2.447,6.581,1.501,10.53
1912,2.43,6.595,1.499,10.525
1913,2.415,6.574,1.491,10.48
1914,2.383,6.594,1.877,10.854
1915,2.525,7.98,1.497,12.003
1916,2.583,6.545,2.236,11.364
1917,2.769,7.055,1.935,11.759
1918,2.369,6.57,1.494,10.434
1919,2.628,11.172,2.127,15.926
1920,2.821,6.562,1.505,10.888
1921,2.396,6.534,1.56,10.49
1922,2.67,10.46,1.867,14.996
1923,2.454,6.591,1.511,10.556
1924,2.561,6.815,1.448,10.824
1925,2.478,6.548,1.519,10.545
1926,2.37,6.625,1.507,10.502
1927,2.391,6.59,1.527,10.507
1928,2.383,6.792,1.595,10.771
1929,2.367,6.559,1.432,10.358
1930,2.522,6.731,1.515,10.768
1931,2.438,6.816,1.523,10.776
1932,2.379,6.577,1.59,10.546
1933,2.648,6.89,1.658,11.196
1934,2.431,6.846,1.51,10.786
1935,2.461,6.704,1.425,10.591
1936,2.424,6.588,1.508,10.52
1937,2.418,6.853,1.494,10.766
1938,2.497,6.751,1.5,10.749
1939,2.375,6.85,1.491,10.716
1940,2.383,6.58,1.481,10.444
1941,2.358,6.614,1.5,10.472
1942,2.436,6.828,1.522,10.786
1943,2.426,6.641,1.494,10.56
1944,2.394,6.604,1.5,10.498
1945,2.353,6.572,1.486,10.412
1946,2.375,8.673,1.658,12.705
1947,2.537,6.9,1.455,10.893
1948,2.673,6.569,1.519,10.761
1949,2.455,6.852,1.512,10.819
1950,2.498,6.641,1.529,10.668
1951,2.458,10.862,2.248,15.568
1952,2.908,13.051,2.6,18.558
1953,2.91,7.206,1.515,11.63
1954,2.523,6.596,1.669,10.788
1955,2.475,6.55,1.507,10.532
1956,2.391,6.613,1.494,10.498
1957,2.381,6.778,1.428,10.587
1958,2.367,6.625,1.502,10.494
1959,2.367,6.623,1.555,10.544
1960,2.412,6.496,1.507,10.415
1961,2.372,6.571,0.233,9.176
1962,2.818,6.616,1.514,10.947
1963,2.408,6.811,0.226,9.445
1964,2.667,6.845,0.236,9.748
1965,2.437,6.77,0.301,9.508
1966,2.376,6.479,0.23,9.086
1967,2.391,6.557,0.232,9.18
1968,2.571,6.655,0.285,9.511
1969,2.441,6.557,0.228,9.226
1970,2.386,6.615,0.234,9.235
1971,2.436,6.649,0.221,9.305
1972,2.409,6.462,0.294,9.165
1973,2.41,6.461,0.228,9.098
1974,2.415,6.51,0.233,9.157
1975,2.5,8.689,0.291,11.48
1976,2.502,6.656,0.242,9.4
1977,2.407,6.61,0.223,9.24
1978,2.462,6.44,1.792,10.695
1979,2.478,6.89,0.289,9.656
1980,2.437,7.026,0.221,9.683
1981,2.401,6.51,0.242,9.153
1982,2.442,6.602,0.233,9.277
1983,2.458,6.417,0.225,9.099
1984,2.46,6.625,0.299,9.384
1985,2.367,6.838,0.233,9.438
1986,2.418,6.514,0.221,9.153
1987,2.448,6.431,0.284,9.163
1988,2.415,6.396,0.292,9.103
1989,2.406,6.477,0.226,9.11
1990,2.434,6.49,0.233,9.157
1991,2.453,6.53,0.223,9.205
1992,2.536,6.675,0.261,9.472
1993,2.477,6.545,0.246,9.268
1994,2.462,6.426,0.219,9.107
1995,2.457,6.428,0.222,9.108
1996,2.458,6.617,0.233,9.308
1997,2.416,6.621,0.236,9.273
1998,2.412,6.534,0.222,9.168
1999,2.456,6.463,0.279,9.198
2000,2.403,6.709,0.22,9.332
2001,2.429,6.499,0.224,9.152
2002,2.673,6.774,0.22,9.667
2003,2.431,6.895,0.289,9.615
2004,2.41,6.47,0.233,9.112
2005,2.407,6.52,0.221,9.148
2006,2.445,6.441,0.234,9.12
2007,2.458,6.729,0.296,9.483
2008,2.519,8.37,0.227,11.116
2009,2.441,6.615,0.234,9.29
2010,2.428,6.56,0.221,9.209
2011,2.45,7.204,0.223,9.877
2012,2.423,6.869,0.222,9.513
2013,2.492,6.597,0.225,9.314
2014,2.887,7.345,0.236,10.468
2015,2.479,6.566,0.233,9.278
2016,2.417,6.497,0.315,9.229
2017,2.669,10.355,0.284,13.307
2018,2.746,7.511,0.225,10.483
2019,2.486,6.573,0.315,9.375
2020,2.487,6.673,0.237,9.398
2021,2.426,6.538,0.223,9.187
2022,2.444,6.695,0.22,9.359
2023,2.617,6.554,0.225,9.396
2024,2.487,6.423,0.222,9.133
2025,2.411,6.564,0.234,9.21
2026,2.411,6.534,0.23,9.176
2027,2.437,8.519,0.227,11.183
2028,2.425,6.614,0.292,9.331
2029,2.415,6.477,0.231,9.122
2030,2.41,6.756,0.224,9.389
2031,2.423,6.644,0.328,9.395
2032,2.455,6.579,0.221,9.255
2033,2.687,7.049,0.227,9.963
2034,2.531,6.726,0.287,9.544
2035,2.437,6.424,0.267,9.127
2036,2.466,6.67,0.238,9.374
2037,2.57,7.023,0.259,9.851
2038,2.601,8.512,0.259,11.372
2039,2.541,7.011,0.246,9.799
2040,2.495,6.541,0.288,9.324
2041,2.399,6.545,0.22,9.164
2042,2.507,6.526,0.223,9.257
2043,2.596,6.929,0.235,9.76
2044,2.379,6.49,0.234,9.103
2045,2.431,6.648,0.286,9.365
2046,2.395,6.397,0.29,9.082
2047,2.399,6.635,0.32,9.354
2048,2.785,7.26,0.228,10.272
2049,2.404,6.611,0.231,9.246
2050,2.373,6.574,0.233,9.181
2051,2.446,6.494,0.223,9.164
2052,2.439,6.508,0.279,9.225
2053,2.444,6.792,0.232,9.469
