frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,total_ms
2129,61.568,5.644,18.064,0.315,85.592
2130,13.823,5.514,18.209,2.457,40.003
2131,79.828,5.875,18.871,1.735,106.308
2132,13.295,5.715,18.448,2.47,39.928
2133,58.087,5.586,19.142,0.437,83.253
2134,13.739,5.297,19.951,2.601,41.587
2135,83.096,5.691,17.076,0.387,106.249
2136,13.25,5.437,18.474,0.408,37.569
2137,54.49,5.758,19.597,0.376,80.222
2138,14.914,5.78,19.361,0.41,40.465
2139,93.798,10.235,14.648,0.324,119.005
2140,18.881,5.459,18.56,0.405,43.305
2141,45.374,5.621,18.47,0.401,69.866
2142,28.419,5.72,20.73,0.398,55.267
2143,104.401,4.487,12.443,0.314,121.644
2144,13.361,5.57,19.376,0.423,38.73
2145,57.854,10.062,17.015,0.442,85.373
2146,20.568,5.732,18.613,0.375,45.289
2147,80.76,5.642,16.766,0.295,103.463
2148,14.074,6.337,22.225,0.638,43.273
2149,51.625,9.737,18.691,2.326,82.38
2150,18.984,5.739,18.203,0.391,43.317
2151,78.485,5.736,18.522,0.325,103.069
2152,13.269,5.832,19.258,0.405,38.763
2153,64.079,8.888,16.511,1.945,91.423
2154,13.616,5.579,17.597,0.361,37.153
2155,79.625,10.097,17.093,0.322,107.137
2156,17.463,5.749,18.522,0.357,42.09
2157,52.424,5.985,36.614,0.588,95.611
2158,16.764,5.812,17.975,2.41,42.962
2159,85.085,5.711,14.688,1.703,107.187
2160,12.952,5.416,20.503,2.499,41.37
2161,50.423,9.703,18.62,0.403,79.148
2162,17.228,5.919,18.883,2.564,44.594
2163,87.174,5.885,15.302,0.328,108.689
2164,13.114,5.406,18.189,0.39,37.099
2165,57.84,10.131,15.926,0.274,84.171
2166,17.648,5.686,17.84,0.409,41.583
2167,84.21,5.723,15.122,1.871,106.926
2168,13.719,5.34,18.465,2.404,39.928
2169,53.559,10.01,19.229,1.954,84.753
2170,17.913,5.721,18.246,2.283,44.163
2171,80.544,5.71,17.072,1.863,105.188
2172,13.378,5.82,18.857,2.685,40.741
2173,86.612,8.021,12.167,1.887,108.688
2174,17.476,5.878,17.743,2.235,43.333
2175,85.635,5.665,15.464,1.955,108.719
2176,13.167,5.348,18.183,2.471,39.168
2177,56.497,9.924,19.927,1.965,88.313
2178,17.851,5.781,18.318,0.389,42.34
2179,77.502,5.74,15.606,1.928,100.775
2180,12.839,5.442,17.648,2.555,38.484
2181,48.737,9.824,18.885,0.734,78.18
2182,19.867,5.9,17.77,2.521,46.059
2183,76.596,6.103,18.085,1.944,102.727
2184,12.592,5.692,18.33,2.54,39.154
2185,58.725,5.832,18.333,1.771,84.66
2186,13.597,5.639,17.823,2.379,39.438
2187,83.683,10.314,22.272,2.822,119.091
2188,18.277,5.81,18.742,2.489,45.318
2189,67.961,5.753,16.906,1.882,92.503
2190,12.934,5.576,17.949,2.454,38.913
2191,87.971,5.948,14.064,0.32,108.304
2192,14.963,11.192,35.692,0.445,62.292
2193,65.235,10.373,22.116,4.734,102.459
2194,79.999,7.71,21.335,0.425,109.469
2195,40.747,5.655,28.636,0.394,75.432
2196,87.683,11.738,35.508,3.205,138.134
2197,38.238,13.706,36.204,4.742,92.89
2198,35.37,13.727,50.959,6.615,106.671
2199,47.32,25.848,48.401,4.777,126.346
2200,43.28,12.616,33.926,4.354,94.176
2201,55.988,11.044,35.194,6.457,108.684
2202,87.173,11.537,32.84,5.602,137.153
2203,88.206,7.77,20.676,3.767,120.42
2204,118.323,11.698,18.743,2.171,150.935
2205,25.225,17.222,32.317,6.304,81.068
2206,104.243,10.723,34.295,4.422,153.683
2207,88.404,9.445,35.228,4.32,137.397
2208,88.452,10.491,36.905,4.364,140.213
2209,56.889,20.784,40.438,4.931,123.043
2210,26.584,6.881,26.886,3.08,63.43
2211,165.399,5.937,23.923,2.526,197.785
2212,16.175,5.79,17.302,2.584,41.85
2213,135.125,19.147,21.239,2.206,177.716
2214,16.38,5.456,17.659,2.694,42.19
2215,195.777,5.569,16.447,2.324,220.117
2216,24.345,9.156,32.922,4.213,70.637
2217,122.839,11.636,35.481,2.33,172.285
2218,21.856,11.132,32.089,4.257,69.334
2219,159.347,9.284,15.811,2.254,186.696
2220,30.708,11.713,30.552,4.306,77.278
2221,104.72,9.387,34.547,4.268,152.922
2222,32.094,9.153,33.313,3.165,77.724
2223,163.949,11.569,29.269,2.928,207.714
2224,24.164,11.326,44.072,5.639,85.201
2225,42.387,16.009,32.941,3.34,94.677
2226,75.796,9.451,34.722,6.364,126.333
2227,120.874,5.495,16.773,2.672,145.814
2228,22.618,11.615,44.283,7.036,85.552
2229,105.772,11.721,42.051,3.793,163.336
2230,26.857,11.365,40.664,4.867,83.753
2231,112.34,5.795,17.986,1.869,137.989
2232,13.203,5.523,18.59,2.445,39.761
2233,55.776,5.726,18.881,2.666,83.049
2234,13.232,5.303,18.082,2.336,38.953
2235,85.021,5.708,15.943,1.734,108.406
2236,14.457,9.884,20.844,2.628,47.813
2237,68.585,5.981,20.146,2.618,97.331
2238,17.538,5.675,20.25,2.617,46.079
2239,71.436,5.648,18.292,1.875,97.251
2240,12.632,5.429,17.904,2.504,38.469
2241,49.483,5.533,18.808,2.705,76.528
2242,14.767,5.604,17.916,2.478,40.764
2243,75.917,6.005,17.767,1.981,101.67
2244,13.208,5.732,18.192,2.354,39.487
2245,51.345,9.877,18.02,1.906,81.149
2246,18.803,5.447,18.062,2.556,44.868
2247,36.848,5.492,16.501,2.246,61.087
2248,68.748,9.59,31.66,3.018,113.016
2249,17.444,5.347,18.368,2.693,43.853
2250,65.046,5.75,16.434,1.874,89.105
2251,13.142,5.545,22.367,2.603,43.657
2252,49.416,5.738,30.297,6.765,92.216
2253,36.594,6.016,18.921,2.499,64.031
2254,59.393,5.858,19.386,2.462,87.098
2255,13.036,5.741,18.962,2.538,40.277
2256,54.423,5.755,18.207,2.661,81.046
2257,47.606,5.631,18.157,2.637,74.032
2258,36.302,5.721,18.552,2.521,63.097
2259,30.434,6.405,18.061,2.522,57.421
2260,39.854,5.503,18.086,2.393,65.837
2261,57.069,9.669,18.828,2.421,87.987
2262,27.821,5.53,20.713,2.52,56.585
2263,37.019,5.622,17.944,2.424,63.009
2264,33.203,5.662,17.774,2.569,59.208
2265,69.057,5.828,22.55,2.695,100.13
2266,12.717,5.58,18.246,2.318,38.86
2267,59.257,10.099,21.391,2.813,93.56
2268,21.562,9.551,20.254,2.508,53.875
2269,85.558,5.957,15.178,1.873,108.566
2270,13.144,5.45,18.684,2.535,39.813
2271,53.725,5.721,19.048,2.521,81.015
2272,14.941,5.503,17.678,2.396,40.517
2273,76.276,5.679,18.397,1.857,102.209
2274,13.075,5.584,17.826,2.439,38.925
2275,54.852,5.621,19.24,2.418,82.131
2276,16.527,5.484,17.89,2.292,42.193
2277,87.57,5.74,14.869,1.987,110.166
2278,13.398,5.684,19.349,3.023,41.454
2279,52.37,5.872,19.14,2.535,79.918
2280,19.948,5.291,19.972,2.433,47.644
2281,72.649,5.557,18.809,2.419,99.434
2282,13.786,5.361,18.409,2.456,40.012
2283,92.124,4.429,12.263,1.802,110.619
2284,13.956,5.392,18.557,2.48,40.384
2285,78.908,5.854,19.246,2.056,106.064
2286,19.153,18.753,49.719,4.496,92.121
2287,18.243,5.734,18.109,2.497,44.582
2288,61.055,5.763,18.45,2.536,87.805
2289,28.508,9.991,18.118,2.491,59.109
2290,55.933,5.541,19.162,0.44,81.075
2291,13.501,5.839,18.992,2.652,40.983
2292,61.188,5.767,18.801,2.506,88.262
2293,33.644,5.691,18.495,0.397,58.228
2294,56.43,5.671,18.845,0.406,81.352
2295,17.045,9.564,17.868,0.398,44.876
2296,54.482,5.912,17.786,2.539,80.72
2297,47.321,5.923,40.577,0.473,94.294
2298,28.178,5.955,18.412,2.607,55.15
2299,48.875,5.694,19.14,0.388,74.098
2300,22.735,5.407,18.15,0.408,46.701
2301,74.006,5.812,18.822,0.38,99.02
2302,14.39,5.527,18.079,0.375,38.371
2303,57.792,5.696,18.926,2.533,84.948
2304,17.093,5.411,17.305,0.379,40.188
2305,80.791,5.898,19.11,0.294,106.094
2306,12.952,5.543,18.4,0.353,37.248
2307,62.378,5.955,18.343,0.427,87.104
2308,11.612,5.565,18.106,0.38,35.662
2309,92.194,5.708,14.947,1.922,114.771
2310,12.841,5.577,18.311,2.529,39.259
2311,61.917,5.981,19.148,2.42,89.465
2312,15.006,5.566,17.616,2.368,40.556
2313,80.284,5.844,21.74,0.395,108.263
2314,40.436,5.734,18.754,2.565,67.489
2315,32.508,5.56,18.728,2.613,59.409
2316,38.061,5.616,17.872,2.628,64.177
2317,63.98,5.701,19.535,2.688,91.904
2318,21.165,5.784,18.093,2.336,47.378
2319,55.115,5.713,19.049,2.674,82.551
2320,13.212,8.584,18.24,2.442,42.477
2321,79.367,9.866,17.347,1.968,108.549
2322,19.369,5.758,18.379,2.499,46.005
2323,52.406,7.752,19.097,2.55,81.805
2324,13.909,5.764,18.108,2.652,40.433
2325,87.173,5.915,16.952,1.806,111.845
2326,13.121,5.472,18.736,2.429,39.758
2327,57.54,9.844,19.249,1.959,88.592
2328,20.998,5.581,19.977,2.782,49.338
2329,102.59,5.809,12.138,1.843,122.38
2330,13.349,5.508,18.183,2.313,39.352
2331,56.272,9.61,18.629,2.14,86.651
2332,17.849,5.836,18.655,2.523,44.863
2333,80.708,5.817,16.822,1.861,105.208
2334,14.901,5.397,18.145,2.587,41.03
2335,51.983,11.244,23.078,2.368,88.673
2336,15.947,5.763,18.222,2.375,42.307
2337,92.091,5.541,13.926,1.875,113.433
2338,11.61,5.641,18.238,2.345,37.834
2339,57.377,9.948,18.175,1.986,87.487
2340,19.023,5.607,17.728,2.463,44.821
2341,76.661,5.836,19.472,2.21,104.178
2342,12.723,5.55,18.464,2.378,39.115
2343,84.64,5.715,16.45,1.87,108.675
2344,13.356,5.407,18.048,2.383,39.195
2345,80.935,10.13,15.419,1.884,108.368
2346,17.679,5.563,18.28,2.548,44.071
2347,51.358,5.811,19.253,0.405,76.827
2348,19.559,5.818,21.206,2.405,48.988
2349,80.667,6.857,19.725,1.893,109.142
2350,12.931,5.706,19.064,2.478,40.179
2351,59.905,9.832,20.208,1.921,91.866
2352,17.86,5.644,17.482,2.432,43.418
2353,79.924,5.744,17.265,1.808,104.741
2354,13.403,5.549,18.389,2.341,39.683
2355,56.107,10.032,17.835,1.831,85.804
2356,17.604,5.629,17.916,2.369,43.519
2357,83.057,7.716,19.667,2.727,113.167
2358,20.576,5.679,19.518,3.383,49.157
2359,52.164,9.737,18.598,2.404,82.903
2360,17.67,5.68,18.447,2.32,44.118
2361,77.216,5.743,17.626,1.794,102.379
2362,13.33,5.537,18.415,4.987,42.269
2363,52.587,9.887,17.67,1.833,81.977
2364,17.136,5.528,17.749,2.388,42.801
2365,79.269,5.966,15.387,1.793,102.414
2366,13.662,7.144,18.272,2.366,41.443
2367,51.734,9.833,18.322,2.075,81.965
2368,17.883,5.662,18.021,2.538,44.103
2369,79.037,5.829,16.971,1.84,103.677
2370,13.066,5.42,18.361,2.632,39.48
2371,52.718,9.823,17.777,1.897,82.215
2372,17.257,5.607,17.712,2.268,42.843
2373,97.745,5.814,12.42,1.869,117.849
2374,11.814,5.242,22.292,2.724,42.072
2375,104.766,10.538,23.902,3.846,143.052
