frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,total_ms
1296,11.921,4.382,12.838,2.853,31.994
1297,96.525,3.941,12.545,2.228,115.239
1298,14.91,4.758,26.824,6.585,53.076
1299,52.131,4.659,12.945,3.15,72.884
1300,27.751,4.522,12.75,2.905,47.928
1301,75.065,4.89,13.041,3.256,96.252
1302,19.831,4.609,12.779,3.082,40.3
1303,57.49,4.61,12.89,3.144,78.133
1304,21.889,4.359,12.729,3.111,42.088
1305,74.872,4.615,12.9,2.976,95.362
1306,14.633,4.462,12.793,3.136,35.023
1307,59.542,4.386,12.915,3.407,80.251
1308,15.411,4.795,12.972,3.198,36.377
1309,89.314,4.721,12.622,2.323,108.98
1310,13.158,4.342,14.392,3.07,34.962
1311,56.723,4.929,13.032,3.199,77.883
1312,13.097,4.556,12.831,2.982,33.465
1313,86.913,4.687,12.778,2.301,106.679
1314,12.939,4.649,16.901,3.138,37.627
1315,86.336,3.816,12.575,2.189,104.916
1316,12.162,4.54,14.025,3.141,33.867
1317,94.732,3.886,12.563,2.181,113.361
1318,13.76,4.456,12.911,2.826,33.952
1319,53.591,4.552,12.961,3.101,74.205
1320,17.218,4.517,12.844,3.322,37.9
1321,91.694,4.909,13.568,2.164,112.334
1322,13.445,4.088,13.998,3.075,34.606
1323,58.855,4.208,13.117,3.144,79.324
1324,21.996,4.637,12.69,3.042,42.366
1325,81.061,4.784,12.957,2.214,101.017
1326,13.212,4.568,14.034,3.126,34.94
1327,56.662,4.701,13.03,3.05,77.443
1328,13.359,4.276,12.829,2.876,33.34
1329,90.531,4.372,12.722,2.004,109.629
1330,18.725,11.426,30.425,3.093,63.669
1331,33.203,4.524,12.845,3.195,53.768
1332,41.107,4.806,13.79,3.318,63.022
1333,57.389,4.934,12.997,3.199,78.519
1334,39.388,4.795,12.913,3.074,60.171
1335,34.384,4.153,12.829,3.126,54.492
1336,37.821,4.34,12.78,2.965,57.906
1337,69.955,4.573,12.95,3.02,90.497
1338,26.753,4.434,12.741,3.014,46.943
1339,45.021,4.671,12.955,3.032,65.68
1340,30.16,4.204,12.832,2.841,50.037
1341,70.356,4.675,13.135,3.289,91.454
1342,22.215,4.435,12.851,3.13,42.631
1343,54.716,4.756,13.152,3.251,75.875
1344,20.757,4.626,12.846,3.043,41.271
1345,84.756,4.919,13.005,2.965,105.645
1346,13.664,9.152,28.194,5.173,56.184
1347,48.862,4.535,13.629,3.497,70.523
1348,36.85,4.427,12.756,3.169,57.203
1349,67.646,4.868,12.969,3.03,88.513
1350,27.585,4.578,12.82,2.967,47.95
1351,47.379,4.647,12.891,3.232,68.149
1352,27.917,4.489,12.759,2.994,48.158
1353,67.846,4.854,13.017,3.382,89.099
1354,32.643,4.524,12.831,3.122,53.12
1355,42.848,4.61,12.982,3.268,63.707
1356,37.855,4.675,12.799,3.001,58.33
1357,66.868,4.672,12.99,3.263,87.793
1358,19.859,4.612,12.807,3.135,40.414
1359,55.966,4.841,12.996,3.261,77.064
1360,19.162,4.538,12.738,2.822,39.259
1361,75.719,5.695,14.055,3.538,99.006
1362,13.29,4.015,16.477,5.006,38.788
1363,64.582,4.161,12.887,3.288,84.918
1364,28.532,4.397,12.797,3.008,48.734
1365,76.334,4.704,13.097,3.241,97.376
1366,13.464,4.012,12.873,2.956,33.305
1367,67.215,4.591,12.723,2.239,86.768
